"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","facebook_I_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_clicks_P_thetas","tv_S_thetas","facebook_I_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_clicks_P_alphas","tv_S_alphas","facebook_I_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_clicks_P_gammas","tv_S_gammas","cluster","n","top_sol"
"1","1_258_3",0,0.23025842885912,0.0523331468120621,0.0486281266925321,0.0562613177156742,0.0523331468120621,0.614513198818484,0.287304683800895,0.590772923317879,0.204871302317044,0.227672870128296,0.304238262480924,0.328855964139318,0.13076535044793,0.190565034940713,0,0.277856414017657,0.855260554724935,0.199179963150901,0.907978357071588,0.0228697541656454,0.982961870111138,0.273690910916288,0.450099483764905,7,13,FALSE
"2","2_131_4",0,0.201540431483848,0.0754795566927217,0.0378978216420661,0.0530789097895906,0.0754795566927217,0.884156076602611,0.48861559591254,0,0.729655276536635,0.0216509260244668,0.00107064717384396,0.569866392284848,0.620283713532493,0.0333360181004751,0.930401772101496,0.764302836071489,0.760604407022631,0.696419509080946,0.820957954067155,0.588218839180069,0.918205060597746,0.929388814445326,1,1,6,TRUE
"3","2_206_1",0,0.207636885058965,0.0604196890886217,0.0486667237222277,0.0529770604293019,0.0604196890886217,0.733848738266555,0.556430983968919,0.754213388571799,0.629401326771312,0.0580919134686926,0.236026117092635,0.528438766474113,1,0.496472854711733,0.751643396587633,0.754623787737931,0.884600781405905,0.988637602116376,0.762576983686296,0.385402484686736,0.904036716661729,0.607601409101115,0.727585198431556,1,6,FALSE
"4","2_210_3",0,0.203440356129277,0.0770593363959415,0.0388182920360772,0.0530194822928636,0.0770593363959415,0.352006639377862,0.556430983968919,0.754213388571799,0.629401326771312,0,0.159696553385279,0.437607291825907,1,0.496472854711733,0.751643396587633,0.754623787737931,0.726019920495638,0.975459196790276,0.762576983686296,0.385402484686736,0.904036716661729,0.999122818398079,0.905147313001264,1,6,FALSE
"5","2_233_1",0,0.24137906951244,0.0483488193998785,0.0478545196172894,0.0530902255280128,0.0483488193998785,0.71311236313334,0.861714017927134,0.798615190379167,0.244124128623533,0.186722065476545,0.170516923115707,0.599451464572707,0.111462920603301,0.00404222660224608,0.509834005680487,0.887615276885829,0.796648593323824,0.694135265525463,0.326592618598049,0.737426530632986,0.664763089769097,0.96985752048528,0.90407058779794,1,6,FALSE
"6","2_250_5",0,0.224363711178319,0.0525415382963115,0.048154880683439,0.0527129609780044,0.0525415382963115,0.900429419762494,0.96851186605406,0.96778760541668,0.0194151160340128,0.159154955659457,0.146021719530307,0.459010595872175,0.92368156490282,0.115237345899599,0.304623437045593,0.870048398983669,0.77702821858023,0.676440208892877,0.711112987105095,0.583741461021535,0.875605184614196,0.941614113605521,0.91788199296451,1,6,FALSE
"7","2_285_2",0,0.199618313120332,0.0591263261711631,0.0478159679517915,0.0527650783729998,0.0591263261711631,0.731427114153116,0.97015432932022,0.787749830890069,0.315260063683016,0.0712025721848669,0.134553737546813,0.503069290932086,0.327775584321311,0.0660854273429751,0.616186271620026,0.86757001331934,0.74167353117562,0.796036509974259,0.164836678804978,0.540046223632628,0.834950557599344,0.81720230252779,0.893004070040028,1,6,FALSE
"8","3_193_6",0,0.589712021804565,0.0383709550043916,0.0468835813819622,0.0510233656614031,0.0383709550043916,0.183472125825024,0.497003674859619,0.901327165265247,0.206208651728108,0.525637182107583,0.0348946392037994,0.719501005176007,0.0824631752868553,0.0064865060320081,0.763483514121633,0.419568251390382,0,0.377947307477638,0.615585183735132,0.295647610065525,0.200961578439534,0.352199227192354,0.135596608720916,6,11,FALSE
"9","3_202_4",0,0.528366627156688,0.0383097429221537,0.0476879487264344,0.0508259404758216,0.0383097429221537,0.787966519361498,0.612983652763931,0.612506598291705,0.0983790067900415,0.145996035609988,0.348741800084746,1,0.0529972420704444,0.757758629895867,0.572482741813247,0.0995562849205859,0.492403386226295,0.422611590512273,0.00998511690515772,0.209022202311207,0.603557362249244,0.530662130024012,0.0148437269907423,6,11,FALSE
"10","3_206_5",0,0.589908977768949,0.0383032245126485,0.0468598799746281,0.0510667682350532,0.0383032245126485,0.50968176371552,0.419074202673995,0.901327165265247,0.206208651728108,0.525637182107583,0.0348946392037994,0.719501005176007,0.118588576441421,0.0064865060320081,0.763483514121633,0.419568251390382,0,0.377947307477638,0.213325455959349,0.295647610065525,0.200961578439534,0.352199227192354,0.135596608720916,6,11,FALSE
"11","3_207_2",0,0.225730999755314,0.0523541055814724,0.0540154326446215,0.0537763100860681,0.0523541055814724,0.677072496685812,0.560310242385526,0.809441239253486,0.0531765082316357,0.06312344464859,0.202130736490933,0.511024345875905,0.63166048097283,0.083334339534454,0.510281729980485,0.338358693110602,0.485094078614745,0.381284063957274,0.792230967787189,0.522189868690113,0.586045821726366,0.859314780356149,0.970512586622232,6,11,FALSE
"12","3_211_4",0,0.224460964969621,0.052478214504037,0.0541066931004532,0.0537952271654865,0.052478214504037,0.677072496685812,0.560310242385526,0.761558583289147,0.0529362635801676,0.06312344464859,0.202130736490933,0.511024345875905,0.63166048097283,0.083334339534454,0.497541767073435,0.338358693110602,0.485094078614745,0.381284063957274,0.792230967787189,0.420840653823697,0.440786289732003,0.859314780356149,0.970512586622232,6,11,FALSE
"13","3_215_6",0,0.230920403847907,0.0519640846517025,0.0541294003369744,0.0539393646217586,0.0519640846517025,0.677072496685812,0.560310242385526,0.761558583289147,0.0529362635801676,0.06312344464859,0.202130736490933,0.511024345875905,0.41364274286546,0.083334339534454,0.497541767073435,0.338358693110602,0.485094078614745,0.381284063957274,0.591264334429234,0.420840653823697,0.440786289732003,0.859314780356149,0.970512586622232,6,11,FALSE
"14","3_231_1",0,0.22282921015323,0.0527219997898178,0.0551506020466782,0.0546279120169481,0.0527219997898178,0.667586693468105,0.583616109259656,0.792029529886018,0.10162268726387,0.110238965411961,0.385492416531443,0.555676665179359,0.381391192747987,0.0997333045535204,0.462220984153125,0.324495495342904,0.736263558535862,0.383377662481307,0.520717203588193,0.464073223383321,0.239543049987521,0.744444197815148,0.687957550049366,6,11,FALSE
"15","3_244_5",0,0.237330316283678,0.0510583722507952,0.0546672226152529,0.0538117746785477,0.0510583722507952,0.646455004460286,0.530348279433295,0.840614798630974,0,0.191865947087966,0.347652632879023,0.668163364371799,0.0833368777265141,0.159802615929549,0.642883446176494,0.362116713270714,0.50079056487207,0.424224286740473,0.261057173822225,0.075678833786132,0.522216828882659,0.90356168622637,0.754293025080598,6,11,FALSE
"16","3_275_3",0,0.310875803806783,0.0433070782379541,0.0489341093975582,0.0520959615923701,0.0433070782379541,0.452261049130864,0.519763781654526,0.97067166620008,0.294180484915388,0.747248333442875,0.263704798409132,0.957717721413289,0.192057387466656,0.102304535546342,0.905505292637045,0.467807729085517,0.488558526378349,0.441180184452484,0.203850981588504,0.221307322747862,0.177894364947255,0.303619610710008,0.605553675184371,6,11,TRUE
"17","3_278_6",0,0.195359220961598,0.0530150633762137,0.0564540623060897,0.0550687528223447,0.0530150633762137,0.478772260057541,0.960589841917211,0.851344672694112,0.0967369611152846,0.0554919238062291,0.549220312578037,0.476327463928195,0.512039527128791,0.359478290280053,0.181092465918418,0.110377560991532,0.788180495023619,0.3918222220657,0.635878030660299,0.109266098165774,0.228619935086796,0.728992816957137,0.630836073031872,6,11,FALSE
"18","3_282_2",0,0.207525295223076,0.0536374190365679,0.0576770296164219,0.0562598779717532,0.0536374190365679,0.468019692700662,0.673213768350391,0.944769088591416,0.127480424122563,0.142432271825425,1,0.359241488271202,0.11202847149753,0.00160643652820144,0.210021915609139,0.170992888447168,0.99081338029581,0.345660606034529,0.331022759865537,0.0155610735984513,0.0387149293730652,0.886851717665662,0.778781510760638,6,11,FALSE
"19","4_124_1",0,0.218667906894535,0.0544620445006546,0.0490896425945732,0.0567188241797384,0.0544620445006546,0.761758389873885,0.158640487772344,0.572287175725594,0.219764123666215,0.815388056517384,0.245258314489961,0.112708933097882,0.151084809522858,0.155886963265125,0.277671084921694,0.171857586673346,0.903562241684546,0.411314736832345,0.910017546653348,0.37350857158237,0.779393869767917,0.0921682128762274,0.879498051398822,7,13,FALSE
