"","facebook_I_alphas","facebook_I_gammas","facebook_I_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_clicks_P_alphas","search_clicks_P_gammas","search_clicks_P_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","tv_S_inflexion","ooh_S_inflexion","print_S_inflexion","facebook_I_inflexion","search_clicks_P_inflexion","newsletter_inflexion","tv_S_inflation","ooh_S_inflation","print_S_inflation","facebook_I_inflation","search_clicks_P_inflation","newsletter_inflation","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",1.3337020455,0.52737904266,0.1812590157,0.726774412875,0.91219465335,0.1911416206,0.5248475926575,0.318711606704,0.37226478262,1.52737579,0.97080503231,0.16697314801,1.2530876365,0.47422114584,0.06865322343,2.659253849,0.6122301273,0.3942456195,0.62915189426,97697.2472534356,160996.786574072,27181.4111023998,8261.32973425844,9149.16685974045,100227.288205817,1.65017272234901,1.59291290343677,1.20028208757658,1.21580257995246,1.0736365071344,1.23442641818255,0.936173709241953,0.959500487274433,0.974250705543892,0.0562613177156742,0.0523331468120621,0.0486281266925321,0.0523331468120621,0.23025842885912,0,35808.2223962089,0.0004468929818,65481090.2533626,1e-04,0,0.159489154815674,87.5587759017944,"1_258_3",1,258,3,1802,FALSE,TRUE,3,0.0256896724969726,7,FALSE
"2",1.84156053675,0.79695860018,0.2562467283,1.464338389,0.85468840658,0.24983568307,0.505210684485,0.70477565359,0.33232759462,2.89702243725,0.9305240144,0.32069879527,2.2607541565,0.88558731014,0.010042350939,2.45302433725,0.99326762309,0.3016536828655,0.79490827754,157467.75977385,354561.284372274,26074.7139800522,12552.7026518332,16192.7900249305,98854.11553926,1.43170354407871,1.49767029711326,1.4711830582211,1.33578982886031,1.01014274768388,1.32997370001184,0.943190839963695,0.933840822911502,0.985245174476364,0.0530789097895906,0.0754795566927217,0.0378978216420661,0.0754795566927217,0.201540431483848,0,60923.8117388612,0.0008304861849,65481090.2533626,1e-04,0,0.153839111328125,38.9414360523224,"2_131_4",2,131,4,914,FALSE,TRUE,3,0.0106123221942596,1,TRUE
"3",1.75426401725,0.95538530792,0.21444624174,2.03646208275,0.81610813835,0.26960788807,0.56305354145,0.56627697257,0.38331361768,2.63387181025,0.9217108051,0.2913312763,2.240704152,0.68370706934,0.020409392556,2.72317807125,0.80450574573,0.37341260725,0.77792773055,128122.196648582,288011.74425626,25818.9007053709,14998.8374911038,12618.2470554043,96154.5211889994,1.59541053824361,1.62143789768653,1.41041146227202,1.26608685141246,1.02082839812638,1.36556875816568,0.943674459910062,0.962974501404627,0.976111463312035,0.0529770604293019,0.0604196890886217,0.0486667237222277,0.0604196890886217,0.207636885058965,0,58933.5533510706,0.0008000887461,65481090.2533626,1e-04,0,0.159260988235474,60.4716029167175,"2_206_1",2,206,1,1436,FALSE,TRUE,4,0.0218696479100184,1,FALSE
"4",1.5628634375,0.94824060532,0.10825591398,2.03646208275,0.81610813835,0.26960788807,0.56305354145,0.56627697257,0.38331361768,2.63387181025,0.9217108051,0.2913312763,2.240704152,0.92933643542,0.003882911613,2.37767432625,0.92754222503,0.3501004137,0.78700295825,147445.625729157,288011.74425626,25818.9007053709,14801.6180283899,16932.6326448427,96154.5211889994,1.5382775449115,1.62143789768653,1.41041146227202,1.11834244134213,1.00389782945414,1.36556875816568,0.943635153830002,0.931854984264842,0.984511835540676,0.0530194822928636,0.0770593363959415,0.0388182920360772,0.0770593363959415,0.203440356129277,0,86308.0704308157,0.001218182805,65481090.2533626,1e-04,0,0.171597957611084,61.5893270969391,"2_210_3",2,210,3,1466,FALSE,TRUE,4,0.0117929636247484,1,FALSE
"5",1.90390236275,0.79572019231,0.20867945364,0.697691179275,0.52799381549,0.35861598643,0.50155207550025,0.80666619647,0.38631525001,2.2779036345,0.77287417583,0.17847152911,2.5161940415,0.91097622215,0.05700319071,2.5315546295,0.92679613976,0.3534051169,0.76157128574,147361.825562233,411053.243843128,21639.8055848038,12487.1318251293,17385.2133317884,68158.9900162834,1.54612699501505,1.62936444689183,1.21705615330987,1.25704710069703,1.06039684650134,1.55258251378862,0.942190673908756,0.968873045603604,0.9774488275744,0.0530902255280128,0.0483488193998785,0.0478545196172894,0.0483488193998785,0.24137906951244,0,46399.3466790677,0.0006086524067,65481090.2533626,1e-04,0,0.157038927078247,67.8718550205231,"2_233_1",2,233,1,1625,FALSE,TRUE,4,0.0275983779219194,1,FALSE
"6",1.90390236275,0.79572019231,0.20867945364,0.697691179275,0.52799381549,0.35861598643,0.50155207550025,0.80666619647,0.38631525001,2.2779036345,0.77287417583,0.17847152911,2.5161940415,0.91097622215,0.05700319071,2.5315546295,0.92679613976,0.3534051169,0.76157128574,147361.825562233,411053.243843128,21639.8055848038,12487.1318251293,17385.2133317884,68158.9900162834,1.54612699501505,1.62936444689183,1.21705615330987,1.25704710069703,1.06039684650134,1.55258251378862,0.942190673908756,0.968873045603604,0.9774488275744,0.0530902255280128,0.0483488193998785,0.0478545196172894,0.0483488193998785,0.24137906951244,0,46399.3466790677,0.0006086524067,65481090.2533626,1e-04,0,0.267490148544312,69.3743770122528,"2_237_3",2,237,3,1655,FALSE,TRUE,4,0.0275983779219194,NA,NA
"7",1.60796459675,0.78612677687,0.26077234674,1.9214720585,0.78209885794,0.38975388901,0.51543964149,0.70171815376,0.39775157398,1.9758126715,0.90402539008,0.112647227869,2.4798045155,0.89325711417,0.04916066517,2.48880727075,0.93636634943,0.345923914345,0.76690697207,148805.493096625,360225.78213437,25311.1050876364,12386.9085795609,16923.6407927737,104584.722371428,1.52847041294591,1.66028782918086,1.12688299637389,1.34380774009732,1.05166422141695,1.63069863414527,0.942975023796665,0.962894933611431,0.977177295346284,0.0527129609780044,0.0525415382963115,0.048154880683439,0.0525415382963115,0.224363711178319,0,57787.3340299406,0.0007825824103,65481090.2533626,1e-04,0,0.160394906997681,73.5955278873444,"2_250_5",2,250,5,1748,FALSE,TRUE,4,0.0240864300932366,1,FALSE
"8",1.70080531975,0.85096618514,0.21377278782,1.023612412,0.42109960828,0.3902327644,0.509300878235,0.67187966879,0.38558073445,2.4344650565,0.87873677918,0.19930947043,2.4746705765,0.8152046921,0.024139224102,2.4117792055,0.91912791962,0.34242142065,0.77772125348,146032.026772999,342210.728520708,24604.5623611104,13358.8926941,15095.8401257199,56342.1021442484,1.52034164810691,1.6274176307195,1.24867633867822,1.26502435417723,1.02472758084118,1.63196140489922,0.944124319354441,0.964542694195154,0.976939366664957,0.0527650783729998,0.0591263261711631,0.0478159679517915,0.0591263261711631,0.199618313120332,0,41749.6458330385,0.000537637006,65481090.2533626,1e-04,0,0.157166957855225,83.0742011070251,"2_285_2",2,285,2,1990,FALSE,TRUE,2,0.0201544235490179,1,FALSE
"9",2.15687141075,0.62429816741,0.06138644808,0.65399686855,0.71897061164,0.25228130524,0.50185735051675,0.50498540769,0.39325874266,2.65130167525,0.48437328882,0.1673648995,1.5466415975,0.52347502443,0.15342064164,0.795878137,0.39430454915,0.311984037325,0.72599900318,62540.3858781773,258474.027098363,13561.8926031297,9732.02680503518,10969.5016133121,83344.5556729204,1.4531737120987,1.64800056235364,1.20084599613554,1.06375586703174,1.18076134157287,1.33427580137512,0.94521668293351,0.978369424800844,0.97973994396417,0.0510233656614031,0.0383709550043916,0.0468835813819622,0.0383709550043916,0.589712021804565,0,7997.4391906033,2.21357816e-05,65481090.2533626,1e-04,0,0.166459083557129,56.4231240749359,"3_193_6",3,193,6,1350,TRUE,TRUE,4,0.14071000777955,6,FALSE
"10",2.7479404255,0.64851301065,0.22949640234,0.609600146175,0.318768065057,0.28609634287,0.59568647955,0.44583088464,0.37373401357,2.370128987,0.73480205608,0.13577822236,0.883741574,0.63543755994,0.04541710383,1.86868864525,0.3106323679,0.40783766735,0.72346274681,49645.1679506344,225412.139668886,20573.2609977424,10192.5131356772,11997.5179515646,38159.9206988612,1.68796886473382,1.59664810289268,1.15701204699961,1.29031450569782,1.04754562276518,1.39673908521916,0.945639809943458,0.978438383023869,0.979038789134685,0.0508259404758216,0.0383097429221537,0.0476879487264344,0.0383097429221537,0.528366627156688,0,8174.93139137602,2.484663982e-05,65481090.2533626,1e-04,0,0.170844078063965,58.8752069473267,"3_202_4",3,202,4,1411,TRUE,TRUE,2,0.11992860012445,6,FALSE
